gene,AT1,AT2,Basal,Ciliated,Goblet,Secretory,KRT5-/KRT17+
FAM138A,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
OR4F5,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HES4,0.036274526,0.030746862,0.03451325,0.027243506,0.03993909,0.042976912,0.036376122
TTLL10,-0.0048165284,-0.004851742,0.023721281,0.029941237,0.025185326,0.024990952,0.021997048
MXRA8,0.031610716,0.025349941,0.020439493,0.019191075,-0.0054996456,0.020690013,0.037274636
CFAP74,0.023395823,0.02437331,0.02347294,0.02929302,0.022793096,0.022249946,0.021056872
ACTRT2,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HES3,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
SLC2A7,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PIK3CD-AS1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
AL357140.1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,0.018952083,-0.0055836546
AADACL4,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
AADACL3,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
C1orf158,-0.0048165284,-0.004851742,0.021414177,0.028339356,0.020297281,0.021218179,0.021369178
PRAMEF12,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF11,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HNRNPCL1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,0.019544618,-0.005405569,-0.0055836546
PRAMEF2,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF4,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF10,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF7,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF6,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF27,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HNRNPCL3,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF25,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HNRNPCL2,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF26,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
HNRNPCL4,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF9,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF18,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF5,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF8,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF15,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF14,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF19,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF17,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PRAMEF20,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PDPN,0.038614057,0.0266347,0.036468755,0.01979653,0.02266338,0.02040605,0.02798357
FHAD1,0.023788372,-0.004851742,0.023338772,0.037795898,0.028042356,0.023886155,0.024910478
CELA2A,-0.0048165284,-0.004851742,-0.0055885944,0.017530393,-0.0054996456,-0.005405569,-0.0055836546
