gene,AT2,Ciliated,Basal,AT1,Secretory,Goblet
FAM138A,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL627309.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
HES4,0.028357644,0.021768939,0.030004738,0.037225846,0.04649258,0.042738836
TTLL10,0.017106546,0.029058542,0.018639304,0.016072303,0.020139059,0.020778527
TNFRSF18,0.012758371,0.01275837,0.029525816,0.013742576,0.012622937,0.027923567
CFAP74,0.016089668,0.02584368,0.015555092,0.016934467,0.014738911,0.015068356
MORN1,0.025736172,0.023265406,0.02096383,0.02618193,0.021783667,0.02012975
TP73,0.016152352,0.021318648,0.02889137,0.016653154,0.013785073,0.018725136
Z98747.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02782,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
HES3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
CLSTN1,0.03281016,0.026096614,0.04334068,0.035500582,0.03248066,0.034494918
C1orf158,0.013302629,0.025771948,0.013314282,0.012764468,0.01464248,0.013892677
LINC01784,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC245056.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PRAMEF9,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PRAMEF5,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PRAMEF8,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC243961.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PRAMEF17,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PDPN,0.025558142,0.013524617,0.034715816,0.039404813,0.013084032,0.01604343
FHAD1,0.018142281,0.03978272,0.018062426,0.018044474,0.020139059,0.023142742
RSC1A1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL355994.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
IGSF21-AS1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL591896.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
NBL1,0.020124946,0.01947698,0.0408694,0.026438834,0.020512084,0.032260384
PLA2G2E,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
UBXN10,0.020700743,0.030226495,0.014496644,0.013967004,0.017811343,0.020633034
AL139254.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
ECE1,0.024997804,0.017509017,0.0385497,0.032570105,0.035949383,0.037352704
AL592309.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
ALPL,0.04398276,0.0143888,0.02134843,0.028249975,0.031071885,0.038193908
LUZP1,0.030769693,0.018707091,0.036290184,0.026736252,0.030885944,0.030056057
AL445471.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL445471.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL020996.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
UBXN11,0.028561229,0.035544228,0.024082385,0.028009703,0.025293192,0.023856496
SFN,0.040869404,0.018477226,0.0501049,0.036825575,0.034180254,0.037627913
SYTL1,0.032707464,0.026444662,0.041221518,0.035141498,0.032889962,0.03443812
CD164L2,0.024082387,0.033763204,0.023361992,0.020652484,0.019911947,0.019987598
AL137076.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL161638.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL161638.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
DCDC2B,0.018788638,0.029354589,0.013736011,0.0233893,0.015816296,0.015104916
MARCKSL1,0.022227151,0.01605211,0.02775898,0.022237772,0.040667575,0.039473888
GJB5,0.012129802,0.015505766,0.029482868,0.012135599,0.019940238,0.026955634
GJB3,0.013174635,0.014364875,0.029851042,0.020536553,0.019813156,0.028527154
TEKT2,0.01704209,0.03578899,0.017042087,0.018257793,0.019021012,0.017356778
OSCP1,0.031858083,0.035363093,0.022867015,0.027113983,0.022646176,0.022983404
CSF3R,0.043340683,0.013771349,0.013677184,0.02487175,0.017029917,0.015410988
AC117945.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
DNALI1,0.033333037,0.04376518,0.022867015,0.02932603,0.027043642,0.024626344
POU3F1,0.015827602,0.01208442,0.028725607,0.013308986,0.012234704,0.013563013
MFSD2A,0.04599975,0.017903326,0.028276786,0.026072755,0.025575351,0.02796325
CCDC30,0.031329386,0.03398248,0.020905145,0.035622086,0.023932671,0.020705685
SLC2A1,0.017956272,0.020353835,0.03610036,0.0154638905,0.028870735,0.032360453
FAM183A,0.022134854,0.062502906,0.025067085,0.021403389,0.027817907,0.023757912
CFAP57,0.018952394,0.02706297,0.014340964,0.020049166,0.015200316,0.013987355
KLF18,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
ARMH1,0.024825515,0.023491373,0.019365761,0.021269346,0.018720869,0.01733078
TCTEX1D4,0.019393528,0.037140653,0.01811564,0.017622111,0.019996902,0.02024399
CCDC17,0.018625766,0.041860327,0.02087585,0.019208897,0.020890215,0.021353528
TSPAN1,0.02974202,0.06634423,0.04140101,0.029799787,0.047916267,0.060309403
CYP4B1,0.040696643,0.055389773,0.04465849,0.059388485,0.047471117,0.049239893
AL691459.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL592182.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
